-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	0
-95	-90	0
-90	-85	0
-85	-80	0
-80	-75	0
-75	-70	0
-70	-65	0
-65	-60	0
-60	-55	0
-55	-50	2526
-50	-45	3196
-45	-40	1067
-40	-35	87100
-35	-30	151937
-30	-25	112902
-25	-20	76949
-20	-15	70694
-15	-10	64640
-10	-5	55490
-5	0	49363
0	5	42478
5	10	38460
10	15	34213
15	20	30067
20	25	26005
25	30	22126
30	35	19259
35	40	16423
40	45	14032
45	50	12323
50	55	10460
55	60	8834
60	65	7409
65	70	6263
70	75	5448
75	80	4388
80	85	3730
85	90	3075
90	95	2635
95	100	2175
100	105	1870
105	110	1567
110	115	1268
115	120	1083
120	125	886
125	130	752
130	135	645
135	140	529
140	145	454
145	150	332
150	155	320
155	160	243
160	165	193
165	170	170
170	175	146
175	180	133
180	185	94
185	190	71
190	195	76
195	200	66
200	205	49
205	210	46
210	215	49
215	220	28
220	225	20
225	230	35
230	235	32
235	240	17
240	245	18
245	250	18
