-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	0
-95	-90	0
-90	-85	0
-85	-80	0
-80	-75	0
-75	-70	0
-70	-65	0
-65	-60	0
-60	-55	0
-55	-50	524
-50	-45	932
-45	-40	421
-40	-35	16911
-35	-30	33543
-30	-25	29800
-25	-20	25111
-20	-15	26529
-15	-10	28699
-10	-5	30461
-5	0	32047
0	5	31936
5	10	33652
10	15	34436
15	20	34899
20	25	34688
25	30	34149
30	35	33123
35	40	32128
40	45	31513
45	50	30449
50	55	29943
55	60	27134
60	65	26416
65	70	25437
70	75	23927
75	80	23090
80	85	21609
85	90	20064
90	95	19082
95	100	17822
100	105	16790
105	110	15521
110	115	14250
115	120	13175
120	125	12348
125	130	11267
130	135	10571
135	140	9575
140	145	8505
145	150	7998
150	155	7303
155	160	6756
160	165	6145
165	170	5422
170	175	5015
175	180	4607
180	185	4111
185	190	3946
190	195	3402
195	200	3096
200	205	2738
205	210	2507
210	215	2277
215	220	2091
220	225	1876
225	230	1669
230	235	1442
235	240	1348
240	245	1270
245	250	1176
