-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	0
-95	-90	0
-90	-85	0
-85	-80	0
-80	-75	0
-75	-70	0
-70	-65	0
-65	-60	0
-60	-55	0
-55	-50	362
-50	-45	628
-45	-40	331
-40	-35	10758
-35	-30	21927
-30	-25	21396
-25	-20	19511
-20	-15	21859
-15	-10	23748
-10	-5	26197
-5	0	29013
0	5	29828
5	10	33179
10	15	34442
15	20	36065
20	25	36969
25	30	37218
30	35	37563
35	40	37298
40	45	36157
45	50	34921
50	55	33497
55	60	32318
60	65	30882
65	70	28696
70	75	26553
75	80	24660
80	85	23330
85	90	21442
90	95	19470
95	100	18167
100	105	16849
105	110	15143
110	115	14221
115	120	12783
120	125	11854
125	130	10952
130	135	10006
135	140	9100
140	145	8414
145	150	7660
150	155	7236
155	160	6548
160	165	5968
165	170	5384
170	175	5060
175	180	4503
180	185	4282
185	190	3957
190	195	3562
195	200	3432
200	205	2932
205	210	2780
210	215	2514
215	220	2361
220	225	2090
225	230	1964
230	235	1796
235	240	1722
240	245	1524
245	250	1420
