-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	0
-95	-90	0
-90	-85	0
-85	-80	0
-80	-75	0
-75	-70	0
-70	-65	0
-65	-60	0
-60	-55	0
-55	-50	654
-50	-45	1102
-45	-40	522
-40	-35	20897
-35	-30	40945
-30	-25	39602
-25	-20	34010
-20	-15	35139
-15	-10	36391
-10	-5	37656
-5	0	39454
0	5	38732
5	10	39956
10	15	39391
15	20	38902
20	25	37786
25	30	37279
30	35	35326
35	40	33936
40	45	32100
45	50	30414
50	55	28717
55	60	27131
60	65	24948
65	70	22814
70	75	21183
75	80	19552
80	85	17881
85	90	16396
90	95	14760
95	100	13503
100	105	12879
105	110	11580
110	115	10364
115	120	9201
120	125	8621
125	130	7623
130	135	6999
135	140	6273
140	145	5776
145	150	5369
150	155	4807
155	160	4345
160	165	3992
165	170	3550
170	175	3144
175	180	2926
180	185	2677
185	190	2417
190	195	2188
195	200	1991
200	205	1812
205	210	1619
210	215	1438
215	220	1319
220	225	1136
225	230	1109
230	235	989
235	240	855
240	245	825
245	250	711
