-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	0
-95	-90	0
-90	-85	0
-85	-80	0
-80	-75	0
-75	-70	0
-70	-65	0
-65	-60	0
-60	-55	0
-55	-50	1092
-50	-45	1991
-45	-40	843
-40	-35	40885
-35	-30	77056
-30	-25	59575
-25	-20	41178
-20	-15	39385
-15	-10	37704
-10	-5	34835
-5	0	32825
0	5	29630
5	10	28814
10	15	28513
15	20	27262
20	25	25802
25	30	24611
30	35	23430
35	40	22583
40	45	21267
45	50	20512
50	55	19914
55	60	18843
60	65	18179
65	70	17956
70	75	17054
75	80	16637
80	85	16004
85	90	15155
90	95	14770
95	100	14355
100	105	13916
105	110	13296
110	115	12766
115	120	12207
120	125	11433
125	130	10886
130	135	9987
135	140	9623
140	145	9064
145	150	8480
150	155	7843
155	160	7312
160	165	6492
165	170	6052
170	175	5525
175	180	5118
180	185	4632
185	190	4286
190	195	3971
195	200	3678
200	205	3298
205	210	2992
210	215	2704
215	220	2421
220	225	2300
225	230	2037
230	235	1836
235	240	1701
240	245	1496
245	250	1340
